benchmark,size,source_file,mean,mean_lb,mean_ub,mean_se,median,median_lb,median_ub,median_se,slope,slope_lb,slope_ub,slope_se,std_dev,std_dev_lb,std_dev_ub,std_dev_se,median_abs_dev,median_abs_dev_lb,median_abs_dev_ub,median_abs_dev_se
mul,64,REDACTED/arkworks/target/criterion/mul 64/new/estimates.json,0.9969773497262154,0.9960115511012679,0.9985614945268598,0.0007243666597746482,0.9966269072411054,0.9962871570994528,0.9969181609766655,0.0001390344599360188,0.9971834880807409,0.996390602280604,0.9986878597395286,0.0006304481141602082,0.007337288957057598,0.0013482227184569737,0.01242915157625412,0.003814574546815561,0.0012634661404296455,0.0008743145133827293,0.0015818576439322067,0.00018409364201994025
mul,128,REDACTED/arkworks/target/criterion/mul 128/new/estimates.json,4.376964279860446,4.347731754944986,4.408299949648252,0.015486668985724896,4.283393581711046,4.282404271953015,4.286046558282729,0.001913226906221979,4.376391316367787,4.345122474120487,4.411924902240066,0.0172165157839772,0.15646061768647776,0.1271243136121857,0.1814394104381368,0.01403039336406031,0.007411432431977941,0.0043126386009928845,0.015826078322223512,0.003758574939251125
mul,192,REDACTED/arkworks/target/criterion/mul 192/new/estimates.json,9.38296561676364,9.377169453323154,9.39010134937403,0.003299249794650154,9.378049532665939,9.375703094256632,9.380806400341605,0.0014182679219028587,9.38446412727246,9.375819046775218,9.394966736513629,0.004899201969382222,0.03292945800389033,0.0186684866772802,0.044251662494989054,0.00653003115669494,0.011084867875323241,0.008124509985285388,0.013816127657455688,0.0014215378438364324
mul,256,REDACTED/arkworks/target/criterion/mul 256/new/estimates.json,17.275743080463634,17.259199801275102,17.2944866324404,0.00902932752118458,17.25071431562838,17.242361450786753,17.266637530156288,0.005788316166069064,17.271654061136722,17.25827210736365,17.285858134167285,0.007058749592427839,0.09036744540007863,0.06247874116493174,0.11684897617961246,0.013886768350807753,0.04926233723686711,0.03801811185282952,0.06586194176977961,0.007160132927790506
mul,320,REDACTED/arkworks/target/criterion/mul 320/new/estimates.json,25.12756964523603,25.058948449602777,25.220043870082655,0.041026743478458715,25.013461352011404,25.00782617611923,25.025796954786532,0.004375266188253102,25.096081307577606,25.055105946517234,25.144608347014934,0.02303362604832739,0.41800090358964076,0.13890488361192097,0.6306800898168947,0.12883952356423942,0.03770095241109126,0.027177852806205677,0.05726196843710145,0.007479793483341172
mul,384,REDACTED/arkworks/target/criterion/mul 384/new/estimates.json,36.32738306109206,36.289699088394975,36.366792259190845,0.01962268892162547,36.276732528432206,36.25196584600562,36.32462584761287,0.016538971819392276,36.376244393727696,36.32838551255381,36.427612269547836,0.025207030660928307,0.19552113052740655,0.15838423036655228,0.22743695179672516,0.017702130398151897,0.13018541057765945,0.09795692320342538,0.17310829276670206,0.01998961069240741
mul,448,REDACTED/arkworks/target/criterion/mul 448/new/estimates.json,49.828075330645625,49.74019737196507,49.92272719249601,0.04582218084370206,49.68197660147732,49.597950938172474,49.78411158277744,0.04089048455822322,49.82291864175511,49.732418200556765,49.91984047717786,0.047737644997396425,0.46330681695433445,0.38192907883525373,0.5330958548921299,0.03838744643011116,0.34137090383069363,0.25632713960591186,0.44954335823314046,0.04777092373210445
mul,512,REDACTED/arkworks/target/criterion/mul 512/new/estimates.json,66.4091514572106,66.14788486808976,66.67428408577126,0.13467085297870093,66.57526853878123,66.27117427505024,66.82257577884948,0.13555545602251917,66.41045897632767,66.15803167101194,66.66259127297032,0.1282119525826211,1.355380579361194,1.154528579642805,1.5316264471621788,0.09756964027402747,1.2696196708090601,0.8946872924934574,1.6048967839785373,0.17979089432213616
mul,576,REDACTED/arkworks/target/criterion/mul 576/new/estimates.json,85.87359266034152,85.5533021082581,86.19423651179287,0.1616786409780442,86.18599841517586,85.7436216076295,86.50371494619151,0.21491965118153855,85.63068557144813,85.31413440384216,85.93501879505466,0.15724883804374726,1.630170956108815,1.352146593821442,1.8786150250174054,0.13378593023581747,1.3360700011549633,0.9723809902946549,1.7838328273947646,0.20771104696577955
mul,640,REDACTED/arkworks/target/criterion/mul 640/new/estimates.json,107.70584010642423,107.38309288751272,108.00522529379023,0.15882247392754692,107.97194819348402,107.6576405469937,108.09255924778499,0.10103062690370314,107.82286530969171,107.56976371106586,108.07272657576314,0.12855221927636187,1.6021114536944245,1.146540431081452,2.0921889432602017,0.24805528101641164,1.0729551946206743,0.8174909940806895,1.3590380562527022,0.13806508163450548
mul,704,REDACTED/arkworks/target/criterion/mul 704/new/estimates.json,130.34062421640826,130.11103254955523,130.5674897005699,0.1157802462254974,130.352193933783,130.08209356691702,130.55573587077356,0.12309613169685003,130.26826393136426,130.04172947815374,130.49598603455289,0.11585815537724123,1.161704597686714,0.975943205435049,1.3390783254250398,0.0937329611599215,1.042884316846382,0.7572550169753037,1.3397665391308806,0.1596959633521804
mul,768,REDACTED/arkworks/target/criterion/mul 768/new/estimates.json,153.32272948118302,153.13364020527902,153.50876728629632,0.09481563752715594,153.40423956058922,153.2481587460976,153.55347469431976,0.07939031381216317,153.4206497234421,153.24343831932043,153.59852885327464,0.0898611485707147,0.9538531758751202,0.7669192700228096,1.140958850105492,0.09474099358707924,0.8307111718587654,0.6163271271587478,1.037575708383163,0.10768855808529816
mul,832,REDACTED/arkworks/target/criterion/mul 832/new/estimates.json,181.22868742540464,181.01039151508732,181.42598877745658,0.10575093951931465,181.3626751480372,181.10406528674736,181.54057066234796,0.1218476992443226,181.12130625690597,180.95426321131868,181.2876967205242,0.08513580319225844,1.063543218976989,0.8000849146388818,1.3619587616592648,0.1500478273462738,1.0003072893016178,0.7462792259582371,1.167302450951606,0.10347655219555332
mul,896,REDACTED/arkworks/target/criterion/mul 896/new/estimates.json,210.32810662483215,210.06682385649955,210.55809451364786,0.1258432214905772,210.46034075988635,210.30438060546325,210.7833884473323,0.11836082981259552,210.43726890514728,210.2290963414775,210.63770387755517,0.10452418874044624,1.2514134714835286,0.9114624474147923,1.5865073292373368,0.17284739244868608,1.0001437663977542,0.7238522849044596,1.2301479094517271,0.13311857339319422
mul,960,REDACTED/arkworks/target/criterion/mul 960/new/estimates.json,241.2157910066289,241.08002976309038,241.3487779703298,0.06874794320218987,241.2518904084434,241.12008020294164,241.39988996537375,0.074683592256634,241.3518647320341,241.22909184029442,241.47228025881714,0.061749677167070194,0.6840452348341955,0.5851272492365772,0.7745055016546635,0.04827886262842752,0.6200455141710478,0.48159625219774205,0.8265832557731191,0.08804967688278113
mul,1024,REDACTED/arkworks/target/criterion/mul 1024/new/estimates.json,275.3747198932843,275.1817230934071,275.5546679215609,0.0953042401246004,275.43977074385975,275.23219749652293,275.63073885197207,0.09398352236596094,275.4358572447119,275.2570922622358,275.60555185469855,0.08853563838367975,0.9630122946013352,0.7461494561920189,1.1824448602699018,0.11136394140036451,0.7132713059904315,0.5442659885083013,0.9487817646683778,0.10895472210504355
